,text,id,polarities
0,Nos sentimos muy a gusto.,es_9reinas_10_JordiCollGranell_2014-09-21:0,['positive']
1,"Buen servicio, ambiente Acogedor  y tranquilo, comida bien.",es_9reinas_10_JordiCollGranell_2014-09-21:1,"['positive', 'positive', 'positive']"
2,Muy recomendable,es_9reinas_10_JordiCollGranell_2014-09-21:2,['positive']
3,"La atencion es muy buena, los camareros estan muy pendientes de uno todo el tiempo.",es_9reinas_12_RomanAlimena_2014-09-04:0,"['positive', 'positive']"
4,"Y la comida espectacular, por eso lo bueno se paga...",es_9reinas_12_RomanAlimena_2014-09-04:1,['positive']
5,"Lo unico que vi flojo es que pedi un poco de salsa provenzal y nos la cobraron, por lo demas todo bien.",es_9reinas_12_RomanAlimena_2014-09-04:2,"['negative', 'positive']"
6,Nada especial.,es_9reinas_14_AngelEspanolPuig_2014-06-26:0,['neutral']
7,"Me habían comentado maravillas y está bien, pero nada más.",es_9reinas_14_AngelEspanolPuig_2014-06-26:1,['neutral']
8,"Las carnes bien, pero como muchas otras.",es_9reinas_14_AngelEspanolPuig_2014-06-26:2,['neutral']
9,"El precio, por lo que es la comida, para mi gusto es elevado.",es_9reinas_14_AngelEspanolPuig_2014-06-26:3,['negative']
10,"la calidad del producto, el servicio, el entorno todo fue excelente",es_9reinas_17_JoseCarlosLopez_2014-02-24:0,"['positive', 'positive', 'positive']"
11,9reinas ya sido una de las mejores experiencias que hemos tenido en los últimos años.,es_9reinas_18_DanielGonzalez_2014-02-01:0,['positive']
12,El servicio es muy bueno y la calidad de la comida al mismo nivel.,es_9reinas_18_DanielGonzalez_2014-02-01:1,"['positive', 'positive']"
13,Los precios adecuados  y bien puedes hacer un mayor o menor gasto en función de tu bolsillo por que la carta es muy amplia.,es_9reinas_18_DanielGonzalez_2014-02-01:2,"['positive', 'positive']"
14,Volveremos.,es_9reinas_18_DanielGonzalez_2014-02-01:3,['positive']
15,"Fabuloso, muy atentos la comida excelente y un ambiente estupendo.",es_9reinas_23_MJoseVillalbaSedano_2013-12-22:0,"['positive', 'positive', 'positive', 'positive']"
16,Mis amigos quedaron encantados y nosotros tambien.,es_9reinas_23_MJoseVillalbaSedano_2013-12-22:1,['positive']
17,Vale la pena ir y probar sus carnes.,es_9reinas_23_MJoseVillalbaSedano_2013-12-22:2,"['positive', 'positive']"
18,"El restaurante es precioso, moderno y acogedor.",es_9reinas_24_PilarTorresCarbajo_2013-12-22:0,['positive']
19,La comida está deliciosa y es de calidad.,es_9reinas_24_PilarTorresCarbajo_2013-12-22:1,['positive']
20,El servicio muy atento.,es_9reinas_24_PilarTorresCarbajo_2013-12-22:2,['positive']
21,Hemos ido varias veces a cenar al 9reinas y nunca defrauda!,es_9reinas_26_Lucia_2013-12-10:0,['positive']
22,La calidad de las carnes el excelente servicio y su buena bodega lo convierte en un lugar espectacular!!,es_9reinas_26_Lucia_2013-12-10:1,"['positive', 'positive', 'positive']"
23,Sin duda repetiremos.,es_9reinas_26_Lucia_2013-12-10:2,['positive']
24,restaurante excelente con carne de alta calidad.,es_9reinas_29_MarionCanavera_2013-07-14:0,"['positive', 'positive']"
25,Nos encanto!,es_9reinas_29_MarionCanavera_2013-07-14:1,['positive']
26,"La verdad es que todo muy bien; el servicio, la comida y la apariencia, todo correcto.",es_9reinas_2_AlbertMuntana_2015-03-09:0,"['positive', 'positive', 'positive', 'positive']"
27,Hemos ido a cenar y la verdad es que nos ha encantado.,es_9reinas_30_LauraMallen_2013-06-23:0,['positive']
28,el sitio es muy bonito la comida estupenda y el trato inmejorable.,es_9reinas_30_LauraMallen_2013-06-23:1,"['positive', 'positive', 'positive']"
29,totalmente recomendable,es_9reinas_30_LauraMallen_2013-06-23:2,['positive']
30,"Ha sido todo excelente, la calidad, los tiempos, el ambiente (quizas demasiado iluminado) y el servicio.",es_9reinas_31_Sp_2013-06-22:0,"['positive', 'neutral', 'positive', 'positive', 'positive']"
31,El dulce de leche es divino.,es_9reinas_31_Sp_2013-06-22:1,['positive']
32,Primera visita a este Restaurante con resultado satisfactorio.,es_9reinas_32_JordiFriasMartinez_2013-05-07:0,['positive']
33,"Calidad, profesionalidad y precio acorde con la oferta.",es_9reinas_32_JordiFriasMartinez_2013-05-07:1,"['positive', 'positive', 'positive']"
34,Casi como en Argentina.,es_9reinas_35_Seasexandsun_2013-04-02:0,['positive']
35,Fantastico!!!,es_9reinas_38_AdamNash_2013-02-13:0,['positive']
36,Delicioso!!!,es_9reinas_38_AdamNash_2013-02-13:1,['positive']
37,resaturante fantástico con excelente comida y servicio aun mejor!!!!,es_9reinas_3_OliviaPotet_2015-01-15:0,"['positive', 'positive', 'positive']"
38,"tremenda amabilidad, es un gustazo!",es_9reinas_3_OliviaPotet_2015-01-15:1,"['positive', 'positive']"
39,"Servicio muy bueno, faltan platitos para el pan, pero a pesar de eso, todo correcto.",es_9reinas_40_RichardHobohm_2013-01-03:0,"['positive', 'negative']"
40,Estaria bien musica argentina.,es_9reinas_40_RichardHobohm_2013-01-03:1,['negative']
41,Los precios estan dentro de los parametros normales.,es_9reinas_40_RichardHobohm_2013-01-03:2,['neutral']
42,Estuve ayer en una comida de negocio con un cliente y tanto el servicio como la calidad de la comida fué excelente.,es_9reinas_42_EduardoCubero_2012-12-04:0,"['positive', 'positive']"
43,Enhorabuena!!,es_9reinas_42_EduardoCubero_2012-12-04:1,['positive']
44,"Un buen restaurant, aunque algo caro para la cantidad de comida que se sirve en el plato.",es_9reinas_47_SandraMonica_2012-08-15:0,"['positive', 'negative']"
45,"La tira de asado normal, nada extraordinaria.",es_9reinas_47_SandraMonica_2012-08-15:1,['neutral']
46,Muy bien los postres y el matambre.,es_9reinas_47_SandraMonica_2012-08-15:2,"['positive', 'positive']"
47,"Se podria mejorar la iluminación en la planta superior, demasiada luz plana.",es_9reinas_47_SandraMonica_2012-08-15:3,['negative']
48,Recomendable 100%.,es_9reinas_48_DamarisRodriguezPerez_2012-07-30:0,['positive']
49,"Un sitio precioso, con un ambiente exquisito.",es_9reinas_48_DamarisRodriguezPerez_2012-07-30:1,"['positive', 'positive']"
50,El servicio inmejorable y la comida excepcional!!,es_9reinas_48_DamarisRodriguezPerez_2012-07-30:2,"['positive', 'positive']"
51,Exquisitas las ensaladas y la carne.,es_9reinas_49_AntonioBlancoLopez_2012-07-16:0,"['positive', 'positive']"
52,Abundante comida.,es_9reinas_49_AntonioBlancoLopez_2012-07-16:1,['positive']
53,Seguro que no te quedas con hambre y la claidad excelente.,es_9reinas_49_AntonioBlancoLopez_2012-07-16:2,['positive']
54,La calidad de las carnes es insuperable y quiero destacar el excelente servicio recibido.,es_9reinas_50_Joan_2012-06-03:0,"['positive', 'positive']"
55,Si no has probado sus carnes te estas perdiendo algo muy grande!,es_9reinas_51_MiguelNunez_2011-12-23:0,['positive']
