,text,id,polarities
0,Добрый час суток.,27925:0,[]
1,Меня зовут Влада!,27925:1,[]
2,Я со своим молодым человеком и пару его друзей отмечали день рожденье буквально на днях в этом ресторане.,27925:2,[]
3,Обслуживание хорошее нас встретил метрдотель и провёл до столика который отлично нам подашел.,27925:3,"['positive', 'positive']"
4,"Он был в уютном уголке в конце главного зала, приглушенный свет это основная часть этого ресторана там нет дневного освещения это было большим плюсом для нашего дня рожденья!",27925:4,"['positive', 'positive']"
5,"Просто мы пришли днем часиков в четыре, так что вечер приятно продлился…...",27925:5,[]
6,"На наш не большой банкетик мы заказали пару приятных блюд, я заказала себе улитки очень вкусно было и совсем недорого примерно 300 рублей помоему, мой молодой человек заказал блюда из мяса на мангале, которых у них полно, ему не угодишь обычно, а тут понравилось его друзья тоже заказали по порции разного мяса на мангале тоже очень понравились!",27925:6,"['positive', 'positive', 'positive', 'positive', 'positive', 'positive']"
7,"Ближе к вечеру нас предупредили о том, что будет живая музыка, мы так обрадовались этому неожиданному сюрпризу у нас как раз подошло время для танцев, а тут сопровождает такой прекрасный голос солистки……!!!",27925:7,"['positive', 'positive']"
8,"В общем мы остались безумно довольны проведённым вечером в этом ресторане, так что всем советуем))",27925:8,['positive']
9,Были в Дитае на прошлой неделе с подругой.,10099:0,[]
10,"Зашли случайно, обе в китайских ресторанах не бывали, решили попробовать, что это такое.",10099:1,[]
11,"Что заказывать не знали, положились на вкус официантки.",10099:2,[]
12,Совершенно не разочаровались!,10099:3,['positive']
13,"Подруге принесли судака, мне - свинину по-пекински.",10099:4,[]
14,"Еда вкусная, необычная.",10099:5,['positive']
15,Интересно будет зайти и попробовать что-нибудь еще),10099:6,['positive']
16,"По поводу интерьера: место спокойное, шумных компаний нет (не было, по крайней мере, в момент нашего посещения), очень приятная и уютная атмосфера, все в лучших традициях.",10099:7,"['neutral', 'neutral', 'positive']"
17,Остались очень довольны данным заведением.,10099:8,['positive']
18,"Я несколько раз была в этом заведении,о кухне могу сказать только самое хорошее.",10231:0,['positive']
19,"Потрясающая паста с лососем,очень вкусные супчики,отличные десерты.",10231:1,"['positive', 'positive', 'positive']"
20,"Последний раз была с друзьями,все остались довольны и обслуживанием и едой.",10231:2,"['positive', 'positive']"
21,"Интерьер не плохой, несколько залов на разный вкус и компанию.",10231:3,"['neutral', 'neutral']"
22,Вообщем стоящее место для обеда и посиделок с друзьями.,10231:4,['positive']
23,"Вчера отмечали день рождения в ресторане, сходив туда за два дня на разведку.",10239:0,[]
24,"Нам двоим все понравилось и мы решили пригласить туда гостей, одна из которых по части еды была большим знатоком и критиком.",10239:1,['positive']
25,"Сразу хочу сказать, что критиковать ей не пришлось, т.к. она осталась, как впрочем и все остальные гости, очень довольна!",10239:2,['positive']
26,"Интерьер в легком французском стиле с приятным освещением на столиках, обслуживание без навязывания лишних блюд и напитков (официантка Анна), все происходило четко и быстро.",10239:3,"['neutral', 'positive', 'neutral']"
27,Ну а о качестве и исполнении блюд даже нечего говорить!,10239:4,"['positive', 'positive']"
28,"Взяли все разные салаты и горячие, и все остались очень довольны (ирыба, и мясо, и птица).",10239:5,"['positive', 'positive', 'positive', 'positive', 'positive']"
29,Все красиво украшено и приготовлено прямо перед подачей на стол.,10239:6,['positive']
30,"Думаю, что этот доселе незнакомый нам в центре города ресторан ""Веритас"", станет нашим семейным местом встреч!",10239:7,['positive']
31,"Теперь при вопросе от знакомых ""в какой ресторан сходить с гостями из Москвы или отпраздновать день рождения?"" мы будем советовать ""Веритас"".",10239:8,['positive']
32,Большое спасибо персоналу ресторана за душевный и качественный прием.,10239:9,"['positive', 'positive']"
33,Дальнейших вам успехов!,10239:10,[]
34,"Посетили этот ресторан 25,08,12.",1032:0,[]
35,После посещения желания прийти ещё раз нет.,1032:1,['negative']
36,Очень много недочетов как в работе официантов так и в блюдах. 1.,1032:2,"['negative', 'negative']"
37,"Были с ребенком, заказали из детского меню пиццу.",1032:3,[]
38,"К большому удивлению пицца (ещё раз - из детского меню!) была на столько острая, что и взрослые не смогли её есть, не говоря уже о ребенке.",1032:4,['negative']
39,"Официант вообще прокомментировала это так, что детское меню - это для взрослых, которые хотят заказать маленькие порции, а не для детей. :)) 2.",1032:5,['negative']
40,"Попросили принести обычный яблочный сок, не свежевыжатый, принесли свежевыжатый, пришлось вернуть. 3.",1032:6,['negative']
41,"Просили принести ""свежевыжатый сок в большом стакане + газированную воду"" сок принесли в маленьком стакане про воду забыли. 4.",1032:7,['negative']
42,Просили официанта помочь выбрать из 2-х блюд.,1032:8,[]
43,"Официант сказал ""у нас все вкусное"" и помочь с выбором не смог.",1032:9,['negative']
44,"За кухню оценка 3, т.к. из всего заказа понравилась только панакота.",1032:10,"['negative', 'positive']"
45,Салат Цезарь был так себе + очень острая пицца из детского меню.,1032:11,"['negative', 'negative']"
46,"За сервис 3, т.к. официант путала заказы, не могла помочь с выбором (или не хотела, когда клиент просит помочь определиться, он не хочет услышать ""все вкусное, берите все"").",1032:12,"['negative', 'negative']"
47,"А мнение что детское меню не для детей, вообще ""убило"".",1032:13,['negative']
48,"Из плюсов хочу отметить няню в детской комнате, очень милая девушка, ребенку очень понравилась.",1032:14,"['positive', 'positive']"
49,"Я не ходила в этот ресторан в детстве, не знаю, как всё было когда-то, но сейчас это вполне симпатичное и уютное заведение с хорошей кухней.",10354:0,"['positive', 'positive', 'positive']"
50,"Впервые посетили ""Чебурек"" c месяц назад - отмечали с друзьями прошедшую ранее свадьбу.",10354:1,[]
51,"Администрация любезно предоставила нам новый банкетный зал, где мы закрылись, включили свою музыку, курили кальян, веселились, и нам никто не мешал.",10354:2,['positive']
52,"Кухня всем друзьям понравилась, обслуживание тоже (девушки-официантки замечательные).",10354:3,"['positive', 'positive', 'positive']"
53,"Меня же больше всего порадовало, что администрация пошла нам навстречу и сделала хорошую скидку на банкет :)",10354:4,"['positive', 'positive']"
54,"Уже через неделю моя подруга вернулась в ""Чебурек"" со своими родными, где они отметили юбилей отца.",10354:5,['positive']
55,Мы также возвращаемся сюда снова и снова.,10354:6,['positive']
56,"Единственное, что расстраивает - это рост цен.",10354:7,['negative']
57,За последний месяц цены менялись уже два раза.,10354:8,['negative']
58,"Растут они по чуть-чуть, но всё равно стоимость ужина на двоих с каждым посещением получалась у нас всё выше и выше :)",10354:9,['negative']
59,"Но без этого, конечно, никуда.",10354:10,[]
60,"Из кухни могу порекомендовать: чебуреки с сыром сулугуни и зеленью (волшебные!), сациви из баклажан, суп чанахи, конечно же, хинкали, ну и, наверное, бараньи ножки (не помню точное название блюда).",10354:11,"['positive', 'positive', 'positive', 'positive', 'positive']"
61,"Всё это не оставит равнодушным никого, очень вкусно и ""аутентично""!))",10354:12,['positive']
62,Посещала это заведение раз пять.,1052:0,[]
63,Возвращаться туда заставляла лишь хорошая кухня..,1052:1,['positive']
64,Карпаччо подают со всевозможными бальзамиками и маслом.,1052:2,[]
65,Неплохой выбор вин.,1052:3,['neutral']
66,"Интерьер приятный: есть гардероб, диваны, приглушенный свет, ненавязчивая музыка (даже как-то раз наткнулись там на саксофониста), приятная атмосфера...",1052:4,"['positive', 'positive', 'positive', 'positive', 'positive']"
67,НО!,1052:5,[]
68,Обслуживание отвратительно!,1052:6,['negative']
69,"Навсегда останется в памяти официант, который обращался к нам исключительно на ""ты"", дерзил, а когда ему было сделано замечание, он нам сообщил, что он поругался со своей девушкой и у него отвратительное настроение!",1052:7,['negative']
70,"В В другой раз нам ""повезло"" не меньше.",1052:8,[]
71,Муж заказал стейк и мы често ждали его прибытия больше часа!,1052:9,['negative']
72,"Когда наша официантка все таки соизволила появиться (сидели мы почти у входа), от стейка мы отказались, но он волшебным образом всё равно оказался на столе уже через 5 минут и пришлось долго объяснять официантке, что его уже никто есть не будет!...",1052:10,['negative']
73,"Резюме следующее: место в целом отличное, цены не кусаются, но следует серьезно задуматься о замене персонала...",1052:11,"['positive', 'positive', 'negative']"
74,"Субботним вечером зашли компанией в кафе Dolce Italy, попить кофе с пирожными.",10625:0,[]
75,"Было без пятнадцати девять, а кафе, как оказалось, закрывается ровно в девять вечера.",10625:1,[]
76,"Нам любезно предложили разместиться в ресторане, а пирожные пообещали принести туда.",10625:2,['positive']
