,text,id,polarities
0,"Judging from previous posts this used to be a good place, but not any longer.",1004293:0,['negative']
1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.",1004293:1,['negative']
2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table.",1004293:2,['negative']
3,The food was lousy - too sweet or too salty and the portions tiny.,1004293:3,"['negative', 'negative']"
4,"After all that, they complained to me about the small tip.",1004293:4,['negative']
5,Avoid this place!,1004293:5,['negative']
6,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",1014458:0,['positive']
7,Saul is the best restaurant on Smith Street and in Brooklyn.,1014458:1,['positive']
8,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,1014458:2,"['positive', 'positive']"
9,The wine list is interesting and has many good values.,1014458:3,"['positive', 'positive']"
10,"For the price, you cannot eat this well in Manhattan.",1014458:4,"['positive', 'positive']"
11,I was very disappointed with this restaurant.,1016296:0,['negative']
12,Ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,1016296:1,['negative']
13,I had to ask her three times before she finally came back with the dish Ive requested.,1016296:2,['negative']
14,"Food was okay, nothing great.",1016296:3,['neutral']
15,Chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family. ,1016296:4,"['negative', 'negative', 'negative']"
16,I/we will never go back to this place again.,1016296:5,['negative']
17,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",1028246:0,['positive']
18,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!",1028246:1,"['positive', 'positive', 'positive']"
19,You can't go wrong here.,1028246:2,['positive']
20,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.,1032695:0,['positive']
21,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",1032695:1,"['positive', 'positive', 'positive']"
22,I had the duck breast special on my last visit and it was incredible.,1032695:2,['positive']
23,Can't wait wait for my next visit.,1032695:3,['positive']
24,And I hate to say this but I doubt I'll ever go back. ,1041457:1,['negative']
25,"The food is very average...the Thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.",1041457:2,"['negative', 'negative', 'negative']"
26,The only thing I moderately enjoyed was their Grilled Chicken special with Edamame Puree.,1041457:3,['positive']
27,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,1041457:4,"['positive', 'positive']"
28,"The decor is night tho...but they REALLY need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.",1041457:6,"['negative', 'positive', 'negative']"
29,"Their sake list was extensive, but we were looking for Purple Haze, which wasn't listed but made for us upon request!",1053543:2,"['positive', 'positive']"
30,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",1053543:3,"['positive', 'positive']"
31,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,1053543:4,['positive']
32,we love th pink pony.,1055910:0,['positive']
33,THe perfect spot.,1055910:1,['positive']
34,Food-awesome.,1055910:2,['positive']
