,text,id,polarities
0,Lange wachttijd.,Review-g1006565-d2066794_1:1,['negative']
1,"Zelfde dessert, 2 dagen na mekaar.",Review-g1006565-d2066794_1:2,['negative']
2,Ontbijtbuffet was tip top in orde.,Review-g1006565-d2066794_1:3,['positive']
3,Niet goedkoop!,Review-g1006565-d2066794_1:4,['negative']
4,Maar eens in het kasteelrestaurant aangekomen werd het een feest.,Review-g1006565-d2066794_2:3,['positive']
5,"Vooreerst de bediening, uitzonderlijk vriendelijk attent niet geforceerd maar echt.",Review-g1006565-d2066794_2:4,['positive']
6,"Zelden meegemaakt, tussen het personeel was er een heerlijk plagende chemie.",Review-g1006565-d2066794_2:5,['positive']
7,Je hebt de keuze tussen een beperkt aantal menus.,Review-g1006565-d2066794_2:6,['negative']
8,Als je uitleg vraagt over dit lekkere rundvlees wordt het vlees op voorhand op een bord aan je voorgesteld.,Review-g1006565-d2066794_2:8,"['positive', 'positive']"
9,Goedkoop is het niet maar wel uitzonderlijk lekker.,Review-g1006565-d2066794_2:9,"['positive', 'negative']"
10,"Als je geen steak liefhebber bent is er een visalternatief, eend en lam aan aanvaardbare prijzen.",Review-g1006565-d2066794_2:10,"['positive', 'positive', 'positive']"
11,De wijnkaart is een goede selectie van lekkere kwaliteitsvolle wijnen.,Review-g1006565-d2066794_2:11,"['positive', 'positive']"
12,Het was lang geleden dat we zo lekker geëten hebben.,Review-g1006565-d2066794_2:12,['positive']
13,Op de grens tussen Nederland en België hebben we uitzonderlijk lekker geëten in een sfeervolle omgeving met een livebandje die de juiste toon vond en ons een heerlijke namiddag hebben bezorgd.,Review-g1006565-d2066794_2:13,"['positive', 'positive']"
14,Het is een fantastische gelegenheid.,Review-g1006565-d2066794_4:2,['positive']
15,Op het landgoed Altembrouck werkt men met verse eerlijke producten.,Review-g1006565-d2066794_4:4,['positive']
16,Er is geen menukaart.,Review-g1006565-d2066794_4:6,['negative']
17,"Op zondag is er een 3 gang menu voor 27,50 wat echt prijs kwaliteit is.",Review-g1006565-d2066794_4:7,"['positive', 'positive']"
18,Nadeel is dat er geen menukaart is zelfs geen dagelijkse.,Review-g1006565-d2066794_4:8,['negative']
19,Het personeel is zeer vriendelijk en correct zonder stijf te zijn.,Review-g1006565-d2066794_4:10,['positive']
20,"Verder is, en zeer flexibel 3 pers wilde graag (met bijbetaling) gaan voor het voorgerecht van het paasmenu.",Review-g1006565-d2066794_4:13,['positive']
21,Voor rest niets als lof.,Review-g1006565-d2066794_4:17,['positive']
22,Zo heerlijk fantasievol opgedient eten in een fijne ambiance.,Review-g1006565-d2066794_4:18,"['positive', 'positive']"
23,Ik kan dit alleen maar aanraden.,Review-g1006565-d2066794_4:19,['positive']
24,"Spijtig, zo een zaak, prachtig gelegen, goede keuken, maar de vriendelijkheid van de ober is een echte schande en onproffesioneel,",Review-g1009379-d1094833_1:1,"['positive', 'positive', 'negative']"
25,"Het idee om deze mooi avond af te sluiten met een etentje op het terras van ""'t Groot Café"" was een echte afknapper van je welste.",Review-g1009379-d1094833_2:5,['negative']
26,De ober was juist ontslagen dacht ik.,Review-g1009379-d1094833_2:6,['negative']
27,Zo onvriendelijk op het boertig af.,Review-g1009379-d1094833_2:7,['negative']
28,Blijkbaar werkt hij er nog.sympathieker is hij er zeker niet op geworden.,Review-g1009379-d1094833_2:8,['negative']
29,Het eten veel ook niet echt mee of speelde de bediening hier bij een rol.,Review-g1009379-d1094833_2:9,"['negative', 'neutral']"
30,Zo lang die ober daar blijft werken mij niet meer gezien.,Review-g1009379-d1094833_2:10,['negative']
31,Wat een vreselijke ervaring.,Review-g1009379-d1094833_3:2,['negative']
32,De ober was ronduit onbeleefd en deed er alles aan om ons duidelijk te maken dat hij geen zin had om ons te bedienen.,Review-g1009379-d1094833_3:3,['negative']
33,"Toen we zegden: ja, als het te moeilijk is om ons te bedienen, we konden onze zin niet afmaken maar werden toegeschreeuwd door de oor de ober die zich dan omdraaide en weg ging.",Review-g1009379-d1094833_3:4,['negative']
34,De andere klanten zegden luidop dat het schandalig en ongelooflijk was dat men een groep van 9 mensen zo duidelijk buiten joeg!,Review-g1009379-d1094833_3:5,['negative']
35,"Als deze zaak het hoofd niet boven water kan houden, ligt het niet aan de crisis!",Review-g1009379-d1094833_3:7,['negative']
36,"Eigenaar, leer uw personeel manieren.",Review-g1009379-d1094833_3:8,['negative']
37,We komen hier vaker eten: degelijke brasserie zonder meer.,Review-g1009379-d1094833_4:1,['neutral']
38,Alles is ok maar je krijgt nooit een echt 'wow-gevoel'.,Review-g1009379-d1094833_4:2,['neutral']
39,Kort gezegd: je zal nooit teleurgesteld zijn maar je zal eveneens nooit in de 'wolken' zijn.,Review-g1009379-d1094833_4:4,['neutral']
40,"De gastvrouw kreeg van ons de vrije keuze aan tapagerechtjes, zij leverde snel aan en alhoewel alles lekker was en van goede kwaliteit, miste ik verfijning.",Review-g1081485-d4399506_1:1,"['neutral', 'positive']"
41,"Wij vertelden bij het begin te houden van de combinatie tapa en vis en hier werd helemaal niet op ingegaan: iberico, chorizo, manchego, Russiisch ei, champignons, tomaatjes...., gehaktballetjes in tomatensaus, allemaal lekker, echter niet authentiek...",Review-g1081485-d4399506_1:2,"['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
42,"De wijn was lekker, duurste fles nog aan modeste prijs van 30 eur.....",Review-g1081485-d4399506_1:3,"['positive', 'positive']"
43,Dit is dus een leuk adresje voor gezellige babbel en eenvoudige maar toch lekkere tapàs,Review-g1081485-d4399506_1:4,"['neutral', 'positive']"
44,Bediening vriendelijk maar gehaast....,Review-g1081485-d4399506_1:5,['neutral']
45,Zuiderse sfeer...,Review-g1081485-d4399506_2:1,['neutral']
46,Gezellig en lekker.,Review-g1081485-d4399506_2:2,"['positive', 'positive']"
47,Geweldig concept voor een geweldige avond in Spaanse decor!!,Review-g1081485-d4399506_2:3,['positive']
48,Komen zeker terug,Review-g1081485-d4399506_2:4,['positive']
49,Prachtige wijnen en heel gezellig ambiente.,Review-g1081485-d4399506_3:1,"['positive', 'positive']"
50,Authentieke recepten (als spanje kenners kunnen we dat bevestigen) en alles huisgemaakt (dat proef je!).,Review-g1081485-d4399506_3:2,"['neutral', 'positive']"
51,Een aanrader voor een avond uit!,Review-g1081485-d4399506_3:3,['positive']
52,"Leuk concept, zeer lekkere wijnen en tapas, deze wisselen regelmatig soms zeer goed andere gewoon goed.",Review-g1081485-d4399506_4:1,"['positive', 'positive', 'positive']"
53,"komen steeds terug om een gezellige avond door te brengen met hapje en drankje, de bediening zou soms sneller kunnen, maar bekijk dit als een leuke en ontspannen middag of avond zonder stress",Review-g1081485-d4399506_4:2,"['negative', 'positive']"
54,Ook in de periferie zijn er juweeltjes zoals Klein Constantia.,Review-g1081485-d803873_1:2,['positive']
55,"Hoewel eerder gericht op een modaal publiek dat graag een biefstuk eet, presenteert dit restaurant met de regelmaat van de klok smaakparadijzen van schotels voor gastronomen.",Review-g1081485-d803873_1:3,['positive']
56,Gewoonweg het beste restaurant in de buurt!,Review-g1081485-d803873_3:1,['positive']
57,Passie voor eten en bijpassende drank in een gezellig kader.,Review-g1081485-d803873_3:2,"['positive', 'positive']"
58,Anders dan anders maar oh zo lekker!!!!,Review-g1081485-d803873_3:3,['positive']
59,Vroegere bezoeken aan KC waren altijd een culinair hoogtepunt.,Review-g1081485-d803873_4:1,['negative']
60,De swung is er blijkbaar uit.,Review-g1081485-d803873_4:3,['negative']
61,"De menukaart is veel te beperkt, suggesties zijn verdwenen, net als de creativiteit op het bord.",Review-g1081485-d803873_4:4,"['negative', 'negative', 'negative']"
62,Een simpele sla als bijgerecht is niet meteen mijn motivatie om op restaurant te gaan.,Review-g1081485-d803873_4:5,['negative']
63,Amuses die vroeger een leuke entree waren zijn nu beperkt tot een pompoensoepje.,Review-g1081485-d803873_4:6,['negative']
64,"Maar zelfs met deze beperkte kaart (4 hoofdgerechten, 4 voorgerechten en 2 desserts) waren er toch 2 gerechten niet beschikbaar!",Review-g1081485-d803873_4:7,['negative']
65,"Maar zeer vervelend, dit werd bij de presentatie van de menukaart vooraf niet gemeld.",Review-g1081485-d803873_4:8,['negative']
66,Zelfs werd dit bij het hoofdgerecht pas gemeld op het moment dat het moest geserveerd worden!,Review-g1081485-d803873_4:9,['negative']
67,Hier is de kaart kies maar iets anders.,Review-g1081485-d803873_4:10,['negative']
68,"Neen, dit zijn 3 stappen achteruit tegenover vroegere bezoeken.",Review-g1081485-d803873_4:11,['negative']
69,"Als het de keuze is van de eigenaar om te gaan voor een brasserie is dat zijn keuze, maar zoals nu op 2 paarden wedden, dat lukt gewoonweg niet.",Review-g1081485-d803873_4:12,['negative']
70,Zeer jammer.,Review-g1081485-d803873_4:13,['negative']
71,Positief blijft wel dat de kwaliteit van de producten ok is en de ruime keuze uit de Zuid-Afrikaanse wijnen.,Review-g1081485-d803873_4:14,"['neutral', 'positive']"
72,"Tip top in orde met een glaasje cava met wachtbordje, voorgerecht, hoofdgerecht en dessert of irish koffie.",Review-g1120021-d4097420_1:3,['positive']
73,Water en 2 glazen wijn inclusief voor 32€.,Review-g1120021-d4097420_1:4,['neutral']
74,Zeer vriendelijke en vlotte bediening.,Review-g1120021-d4097420_1:5,['positive']
75,Een aanrader!,Review-g1120021-d4097420_1:6,['positive']
76,Nu is het nog geen brasseriebeoordeling waard.,Review-g1120021-d4097420_3:2,['negative']
77,Met gezin (6 personen) gaan eten en viel echt tegen.,Review-g1120021-d4097420_3:3,['negative']
78,"Lekker broodje met vol-au-vent Aan 8,5€!",Review-g1120021-d4097420_4:1,['positive']
79,Duur.,Review-g1120021-d4097420_4:2,['negative']
80,Bediening was niet vriendelijk.,Review-g1120021-d4097420_4:3,['negative']
81,Sfeer was ok maar niet zo aangenaam,Review-g1120021-d4097420_4:4,['negative']
82,"The Village, een echte aanrader!",Review-g1549789-d1745655_1:1,['positive']
83,"Gezellige sfeer, vriendelijke bediening en het eten is TOP!",Review-g1549789-d1745655_1:2,"['positive', 'positive', 'positive']"
84,"Romantiek of gezelligheid, even genieten,...alaise!!",Review-g1549789-d1745655_1:3,['positive']
85,Keep up the good work!,Review-g1549789-d1745655_1:4,['positive']
86,"Maar moet eerlijk zeggen, het was en blijft hier top om te eten.",Review-g1549789-d1745655_2:2,['positive']
87,"Mooie aankleding van de zaak, super vriendelijke bediening en voor ieder wat wils op de kaart.",Review-g1549789-d1745655_2:3,"['positive', 'positive', 'positive']"
88,"Wat ik zelf leuk vind om te doen hier is de Tapas schotel, maar ook hun village gras met bijhorende saus, hun mosselen en de legendarische Pelt stoofvlees is super lekker.",Review-g1549789-d1745655_2:4,"['positive', 'positive', 'positive', 'positive']"
89,"Ook de gezelligheid om van in de sofa te zitten of aan de toog te hangen en van een lekkere Cocktail te genieten, het is hier allemaal.",Review-g1549789-d1745655_2:5,"['positive', 'positive']"
90,"Tanja, je bent goed bezig!!!!!",Review-g1549789-d1745655_2:6,['positive']
91,We wilden met vier personen reserveren voor een hapje te eten bij voorheen de zuiderparel (telefoon deed het meerdere malen niet)!!!!,Review-g1549789-d1745655_3:1,['negative']
92,Of ze namen gewoon niet op.,Review-g1549789-d1745655_3:2,['negative']
93,En ja er was zeker plaats (3 uur met vier personen in de zaak gezeten) we werden wel zeer goed ontvangen de garcon van dienst was dan ook het enige aansprakelijke in de zaak!,Review-g1549789-d1745655_3:4,['positive']
94,De zaak is mooi maar koel omdat er geen volk te vertoeven was: het eten gewoon SCHANDALIG!!!!,Review-g1549789-d1745655_3:5,"['negative', 'neutral']"
95,Sla van de aldi de kwaliteit was slecht en de dressing was al precies maand over datum!,Review-g1549789-d1745655_3:6,"['negative', 'negative']"
96,De huisbereide garnaal kroketten kwamen van de makro!!!!,Review-g1549789-d1745655_3:7,['negative']
97,Stond een vrouwelijk personeelslid gewoon te roken in de zaak dit is allemaal jammer en voor ons Wker niet voor herhaling vatbaar.,Review-g1549789-d1745655_3:8,"['negative', 'negative']"
98,maar wel een aanrader mocht je op je privacy gesteld zijn!!!!,Review-g1549789-d1745655_3:9,['negative']
99,zowel het concept als het Interieur is orgineel.,Review-g188636-d1227444_1:1,"['positive', 'positive']"
100,Daarom kleine kaart met enkel super verse bordjes.,Review-g188636-d1227444_1:3,"['positive', 'neutral']"
101,De wijnkeuze is fantastisch en prijs kwaliteit is zeer correct.,Review-g188636-d1227444_1:4,"['positive', 'positive', 'positive']"
102,"Leuke sfeer, gemoedelijke ontvangst, de beste steak tartare die we ooit hebben gegeten (de gebakken moet je ook zeker eens proberen!), wijn aangepast aan je eigen smaak,...",Review-g188636-d1227444_3:1,"['positive', 'neutral', 'positive', 'positive', 'positive']"
103,Kortom een absolute AANRADER!!,Review-g188636-d1227444_3:2,['positive']
104,Geweldig restaurant buiten het echte centrum van Antwerpen.,Review-g188636-d1227444_4:1,['positive']
105,"Sublieme, ongedwongen sfeer, weinig couverts (reserveren is noodzakelijk) en een fantastische bediening.",Review-g188636-d1227444_4:2,"['positive', 'neutral', 'positive']"
106,Het eten is top (die steak tartaar!) en het is heerlijk om je te laten verrassen door hun wijnkeuze.,Review-g188636-d1227444_4:3,"['positive', 'positive', 'positive']"
107,"Geen goedkope zaak, maar prijs/kwaliteit zeer correct.",Review-g188636-d1227444_4:4,"['neutral', 'positive']"
108,Een absolute aanrader!,Review-g188636-d1227444_4:5,['positive']
109,De koffies en warme choco waren naar mijn mening veel te duur geprijsd en werden te koud opgediend.,Review-g188636-d1790921_1:3,"['negative', 'negative']"
110,Lauwe koffie is gewoon niet accepteerbaar.,Review-g188636-d1790921_1:4,['negative']
111,Geeft ook geen goede indruk dat je toog vol afwas staat van de afgelopen uren terwijl er ca 8 mensen in de zaak aanwezig zijn.,Review-g188636-d1790921_1:6,['negative']
112,Mij zien ze hier niet meer.,Review-g188636-d1790921_1:7,['negative']
113,Portie taart was voldoende groot en daar viel op zich weinig op aan te merken.,Review-g188636-d1790921_1:8,"['neutral', 'neutral']"
114,"Enig adresje waar je lekkere pastrami kan eten, wordt geserveerd met een speciaal sausje en op dikke sneden brood.",Review-g188636-d1790921_2:1,"['neutral', 'positive', 'neutral']"
115,Ook de koffie is er lekker en er heerst een gezellige sfeer.,Review-g188636-d1790921_2:2,"['positive', 'positive']"
116,Leuk om te lunchen.,Review-g188636-d1790921_2:3,['positive']
117,Heerlijk gegeten bij caffe internazionale.,Review-g188636-d1790921_3:1,['positive']
118,Na bij het hotel uitgecheckt te hebben zijn we naar het gezellige cafe getogen.,Review-g188636-d1790921_3:2,['positive']
119,Hier hebben we uitgebreid ontbeten en van een goede kop koffie genoten.,Review-g188636-d1790921_3:3,"['positive', 'positive']"
120,De kwaliteit van het eten was heerlijk en net als de sfeer alsof je bij vrienden thuis o bezoek was.,Review-g188636-d1790921_3:4,"['positive', 'positive']"
121,De bediening was vriendelijk en correct.,Review-g188636-d1790921_3:5,['positive']
122,"Een absolute aanrader voor lekker ontbijt, bruch en/of koffie!",Review-g188636-d1790921_3:6,['positive']
123,De keuken van à L'infintise is een unieke ervaring in geheel Antwerpen.,Review-g188636-d3907081_1:1,['positive']
124,Voor een schappelijke prijs serveert de chef ons zijn culinaire creaties waar zijn persoonlijke stijl tot zijn recht komt.,Review-g188636-d3907081_1:2,['positive']
125,Marc is een kunstenaar die weet om te gaan met de smaken en uiterlijk van lekker eten.,Review-g188636-d3907081_1:3,"['positive', 'positive', 'positive']"
126,Het concept is zeer origineel.,Review-g188636-d3907081_4:2,['positive']
127,"Het eten is fantastisch, zeer creatief, lekker, ik heb er geen woorden voor.",Review-g188636-d3907081_4:3,['positive']
128,Vriendelijke service.,Review-g188636-d3907081_4:4,['positive']
129,Ik kom hier graag terug.,Review-g188636-d3907081_4:5,['positive']
130,Spijtig dat de wachttijden zo lang zijn.,Review-g188636-d3907081_4:6,['negative']
131,Voor mij verdient de chef 4 sterren.,Review-g188636-d3907081_4:8,['positive']
132,"Leuk ingericht, genoeg keuze, goed prijs/kwaliteitverhouding.",Review-g188636-d4080718_1:1,"['positive', 'positive', 'neutral', 'positive']"
133,De ontvangst was zéér vriendelijk en hartelijk.,Review-g188636-d4080718_2:2,['positive']
134,"Het voorgerecht was héél lekker, de hoofdschotel ook.",Review-g188636-d4080718_2:3,"['positive', 'positive']"
135,Verschillende superlekkere gerechtjes met rijst apart.,Review-g188636-d4080718_2:4,['positive']
136,Heel veel groenten.,Review-g188636-d4080718_2:5,['positive']
137,Zeker voldoende voor 2 pers. enig minmuntje: wat weinig kip en scampi's.,Review-g188636-d4080718_2:6,"['positive', 'negative', 'negative']"
138,Het nagerechtje was wat taai en geen verse chocoladesaus.,Review-g188636-d4080718_2:7,"['negative', 'negative']"
139,Bediening SUPER vriendelijk.,Review-g188636-d4080718_2:9,['positive']
140,"De kaart is zéér uitgebreid, wij komen zeker en vast terug!",Review-g188636-d4080718_2:11,"['positive', 'positive']"
141,"Er zou juist een nieuwe eigenaar zijn, vandaar misschien het positieve dat hij betracht.",Review-g188636-d4080718_2:12,['positive']
142,Het is een klein leuk restaurantje en ze serveren prima sushi maar daar is het ook mee gezegd.,Review-g188636-d4170392_1:1,"['positive', 'positive']"
143,Vaak hoort er een speciaal sausje bij maar dat krijg je hier niet.,Review-g188636-d4170392_1:2,['negative']
144,Je krijgt 2 uur de tijd om je 5 rondes te bestellen maar binnen die 2 uur haal je maar net 3 rondes omdat het zo verschrikkelijk lang duurt.,Review-g188636-d4170392_1:3,['negative']
145,Circa 30 minuten vanaf bestelling.,Review-g188636-d4170392_1:4,['negative']
146,Daarnaast vliegen er rondom de bar allemaal vieze vliegjes dus daar zou ik niet in de buurt gaan zitten.,Review-g188636-d4170392_1:5,['negative']
147,De dame was wel vriendelijk en we mochten zelfs tijdens de drukte van tafel wisselen.,Review-g188636-d4170392_1:6,['positive']
148,Maar als het wat drukker wordt hebben de mensen in zowel de keuken als de bediening handen te kort.,Review-g188636-d4170392_2:2,['negative']
149,Wel proberen de mensen jou met de glimlach te helpen waar ze kunnen.,Review-g188636-d4170392_2:3,['positive']
150,"De tafels lijken niet altijd even proper, en hier en daar is er wel iets aan vervanging toe (zoals een krakende luidspreker).",Review-g188636-d4170392_2:4,['negative']
151,Het eten is echt lekker.,Review-g188636-d4170392_2:6,['positive']
152,"Zoveel verschillende keuze, en de smaken zitten goed.",Review-g188636-d4170392_2:7,"['positive', 'positive']"
153,"Het concept op zich lijkt misschien eerst een beetje vreemd, en velen denken dat ze niet genoeg zullen hebben.",Review-g188636-d4170392_2:8,['negative']
154,"Eten is perfect, we zijn er dol op en hebben ervan genoten en we komen ooit nog terug zonder twijfel!",Review-g188636-d4170392_3:1,"['positive', 'positive']"
155,"We mochten zoooveel eten, perfect!!!!",Review-g188636-d4170392_3:2,['positive']
